turn,trajectory_count,success_trajectory_count,failure_trajectory_count,student_entropy_topk_mean,teacher_entropy_topk_mean,entropy_teacher_minus_student,student_surprisal_mean,teacher_surprisal_mean,sampled_reverse_kl_mean,sampled_reverse_kl_token_weighted,student_topk_mass_mean,teacher_topk_mass_mean,valid_action_rate,mean_response_tokens
15,7490,403,7087,0.22085678456477992,0.30559786479510503,0.08474108023032512,0.2274186597542982,0.7516128947179266,0.5241942350372792,0.5120830390880633,0.9999307555759177,0.9995647509941679,0.8174899866488652,136.72763684913218
16,7464,377,7087,0.22101233865668965,0.3106392087387818,0.08962687008209216,0.2261329266153271,0.7425104915801202,0.5163775651046649,0.5061835485201489,0.9999431627949564,0.9995499731430783,0.8193997856377278,136.04648981779206
17,7427,340,7087,0.22103955895403862,0.3213841040222345,0.10034454506819587,0.22726508581589985,0.7292942334657447,0.5020291476796598,0.48991520049313764,0.9999339071322804,0.999486501853567,0.8185000673219335,136.78362730577624
18,7397,310,7087,0.22253325489292686,0.3262080479567856,0.10367479306385874,0.2260262604604782,0.7236463906354315,0.49762013031197344,0.48744397635294484,0.9999378306818049,0.9994572730939264,0.810734081384345,135.4861430309585
19,7370,283,7087,0.22153691496351183,0.3328887889718797,0.11135187400836785,0.22871663350149168,0.7173116599483577,0.48859502656458853,0.478517645320355,0.9999387945972761,0.9994453458466388,0.8172320217096336,135.7877883310719
20,7340,253,7087,0.22191789628766964,0.3398859202615317,0.11796802397386205,0.22815357704762285,0.7146955875150197,0.4865420106416482,0.4756014890992416,0.9999363981444065,0.9993892488962312,0.8103542234332425,135.0350136239782
21,7313,226,7087,0.22447469968731706,0.3496927495603416,0.1252180498730245,0.22941380183646445,0.7072190709606454,0.4778052692945003,0.46804268992391934,0.999941641909821,0.9993232867120242,0.8062354710789006,138.07739641733897
22,7288,201,7087,0.22314065306011313,0.36455035617132575,0.14140970311121262,0.22627803254248055,0.6855821049807823,0.459304072630016,0.4506212576813612,0.999938926747491,0.9992200150674767,0.8062568605927553,135.9300219538968
23,7266,179,7087,0.22227868638487897,0.3643260618917885,0.14204737550690955,0.22983043625567248,0.6932747146240382,0.4634442785118142,0.4530982727220386,0.9999316578419819,0.9992167938884997,0.8066336361134049,135.39292595650977
24,7235,148,7087,0.22334865927616582,0.3645107121328474,0.1411620528566816,0.22651145633377784,0.6872023570849536,0.46069090090308557,0.4534781303652112,0.9999403275770823,0.9992175033692096,0.8063579820317899,133.9238424326192
25,7207,120,7087,0.22294037619198956,0.36939348950426043,0.14645311331227087,0.22871320512328117,0.6870977103182823,0.45838450533566233,0.4487202021161296,0.9999397686175981,0.9991866485160353,0.7957541279311781,136.21895379492162
26,7183,96,7087,0.22487464303415972,0.3725615337710267,0.14768689073686697,0.22991888252264747,0.6876288043901218,0.4577099220123805,0.4478180952810195,0.9999371412876589,0.9991617722944339,0.8080189335932062,137.1698454684672
27,7154,67,7087,0.22240218880397633,0.3771069606498539,0.15470477184587755,0.22842512698804812,0.6798624253849769,0.4514372986254719,0.4410602753434366,0.9999283891534211,0.9991171141161365,0.8003913894324853,135.83939055074083
28,7139,52,7087,0.2246390008348121,0.3853654141277218,0.16072641329290968,0.22872869638087603,0.6726408382701193,0.4439121420134412,0.4350545591588352,0.9999387301941903,0.9990613213328017,0.8013727412802913,137.15688471774757
29,7110,23,7087,0.22257891415780723,0.38703775792250283,0.1644588437646956,0.22833587648353687,0.6732898657856307,0.44495398939555053,0.4355320059747508,0.9999364024507764,0.9990282994576243,0.8054852320675105,135.48832630098454
