method,version_bin_start,trajectory_count,version_min,version_max,effective_threshold,full_strategy_fraction,frontier_trigger_rate,imposed_horizon_mean,full_horizon_fraction,realized_turns_mean,realized_turns_median,available_turns_mean,masked_turns_mean,task_success_rate,prompt_truncated_rate
Linear anneal,55,64,55,58,0.1,0.0,0.34375,22.3125,0.65625,11.125,10.0,13.875,2.75,0.359375,0.640625
Linear anneal,60,64,60,64,0.1,0.0,0.421875,20.625,0.578125,10.109375,8.0,13.703125,3.59375,0.375,0.625
Linear anneal,65,48,66,69,0.10000000000000002,0.0,0.4375,20.5625,0.5625,9.833333333333334,9.0,14.125,4.291666666666667,0.4791666666666667,0.5208333333333334
Linear anneal,70,48,70,73,0.10000000000000002,0.0,0.3541666666666667,22.458333333333332,0.6458333333333334,9.875,9.5,12.666666666666666,2.7916666666666665,0.3958333333333333,0.6041666666666666
Linear anneal,75,64,75,79,0.1,0.0,0.390625,21.53125,0.609375,9.703125,9.0,12.890625,3.1875,0.46875,0.53125
Linear anneal,80,64,80,84,0.12250000000000001,0.0,0.28125,24.03125,0.71875,10.953125,8.0,13.09375,2.140625,0.484375,0.515625
Linear anneal,85,48,86,89,0.18250000000000002,0.0,0.10416666666666667,28.0625,0.8958333333333334,10.625,8.5,11.5,0.875,0.5833333333333334,0.4166666666666667
Linear anneal,90,64,90,94,0.23500000000000001,0.0,0.078125,28.578125,0.921875,13.578125,14.0,14.15625,0.578125,0.453125,0.546875
Linear anneal,95,48,95,98,0.28750000000000003,0.0,0.0,30.0,1.0,13.833333333333334,14.0,13.833333333333334,0.0,0.4583333333333333,0.5416666666666666
Linear anneal,100,64,100,104,0.34750000000000003,0.0,0.015625,29.796875,0.984375,12.0,12.0,12.0,0.0,0.5625,0.4375
Linear anneal,105,48,106,109,0.40750000000000003,0.0,0.020833333333333332,29.979166666666668,0.9791666666666666,13.833333333333334,13.5,13.833333333333334,0.0,0.5,0.5
Linear anneal,110,48,110,113,0.45625,0.0,0.0,30.0,1.0,11.604166666666666,10.5,11.604166666666666,0.0,0.625,0.375
Linear anneal,115,64,115,119,0.51625,0.0,0.0,30.0,1.0,10.5,9.0,10.5,0.0,0.671875,0.328125
Linear anneal,120,48,120,123,0.56875,0.0,0.0,30.0,1.0,11.270833333333334,8.0,11.270833333333334,0.0,0.6875,0.3125
Linear anneal,125,64,125,129,0.6287499999999999,0.0,0.015625,29.796875,0.984375,12.171875,11.0,12.171875,0.0,0.609375,0.390625
Linear anneal,130,48,131,133,0.6849999999999999,0.0,0.0,30.0,1.0,10.1875,8.5,10.1875,0.0,0.7083333333333334,0.2916666666666667
Linear anneal,135,64,135,139,0.74125,0.0,0.0,30.0,1.0,10.484375,8.5,10.484375,0.0,0.75,0.25
Linear anneal,140,48,141,144,0.80125,0.0,0.0,30.0,1.0,10.104166666666666,8.5,10.104166666666666,0.0,0.7291666666666666,0.2708333333333333
Linear anneal,145,48,145,148,0.85,0.0,0.0,30.0,1.0,9.291666666666666,8.0,9.291666666666666,0.0,0.7916666666666666,0.20833333333333334
Linear anneal,150,64,150,154,0.9099999999999999,0.0,0.0,30.0,1.0,10.984375,9.0,10.984375,0.0,0.734375,0.265625
Linear anneal,155,48,156,159,0.9700000000000001,0.0,0.0,30.0,1.0,10.854166666666666,10.5,10.854166666666666,0.0,0.6666666666666666,0.3333333333333333
