relative_turn,delta_teacher_entropy,task_success,model_version
0,0.15244592812643165,False,1
1,0.1484323994925386,False,1
2,0.11577569256197562,False,1
3,0.28859078938439253,False,1
4,0.2716221224737466,False,1
5,0.053529405273481157,False,1
6,0.10963675414730956,False,1
7,0.18328249050849055,False,1
-8,0.02615909420309792,False,1
-7,-0.01640547936319714,False,1
-6,-0.038851939147308,False,1
-5,0.013958712756621805,False,1
-4,0.056645378798678925,False,1
-3,-0.07336271927944582,False,1
-2,0.27945163573008186,False,1
-1,0.09439763759628111,False,1
0,0.0432012532435756,False,1
-8,0.010501295765879937,False,3
-7,0.03256829208862172,False,3
-6,-0.14903522687904508,False,3
-5,-0.06988297243077102,False,3
-4,0.045576055298307605,False,3
-3,-0.08719278104546102,False,3
-2,0.3384667251280509,False,3
-1,0.11077594786131334,False,3
0,0.30119664572192734,False,3
1,0.4887937220090514,False,3
2,0.20881916326718936,False,3
-5,0.16629750908609886,True,3
-4,-0.033509988624053855,True,3
-3,-0.1327875204620449,True,3
-2,0.17101174955188392,True,3
-1,0.10526459735099025,True,3
0,0.1811344371732002,True,3
1,0.14760901642475044,True,3
2,0.14002915402289617,True,3
3,0.2483460068424609,True,3
4,0.2076889534550479,True,3
5,0.3019157702023474,True,3
6,-0.10341573142786481,True,3
-4,0.08962409037642977,False,3
-3,-0.030565702246607485,False,3
-2,-0.05905838812982206,False,3
-1,0.29401969066907835,False,3
0,0.3155735500376175,False,3
1,0.24467188182349736,False,3
2,0.5503109036281484,False,3
3,0.35486788533806785,False,3
4,0.08530153853860206,False,3
5,0.19044655006793415,False,3
6,0.2336631208882633,False,3
7,0.07562319730840233,False,3
8,0.13798472117477167,False,3
9,0.2494142677253947,False,3
10,0.010492131447906006,False,3
-8,-0.2423725272098447,False,3
-7,-0.1313639537632894,False,3
-6,-0.26020393599605945,False,3
-5,-0.00070490827783809,False,3
-4,-0.018083586716344024,False,3
-3,0.08128090175808578,False,3
-2,0.11285985910147911,False,3
-1,0.1357784017060506,False,3
0,0.17339352018694976,False,3
1,0.08273489434248626,False,3
-5,0.04009686260831591,False,3
-4,0.06696626688029755,False,3
-3,-0.10706312948861338,False,3
-2,0.20263718037372352,False,3
-1,0.2539366356432003,False,3
0,0.4391007891473904,False,3
1,0.34296441412857376,False,3
2,0.35584475424666445,False,3
3,0.38472079131726095,False,3
4,0.26563058641464693,False,3
5,0.21451706829717537,False,3
6,0.13815696020587542,False,3
7,0.30734091739517294,False,3
8,0.46136473702370656,False,3
9,0.3130811605817592,False,3
10,0.3010221381444877,False,3
11,0.3249905142581478,False,3
12,0.21686419873756008,False,3
13,0.29721722295460756,False,3
14,0.3911029889666329,False,3
15,0.30331153736306976,False,3
-8,0.11537530056119827,False,3
-7,-0.13428151691444268,False,3
-6,-0.010575074892248626,False,3
-5,-0.1468770994685567,False,3
-4,-0.0640164199734351,False,3
-3,-0.05349499634140964,False,3
-2,0.13880448059745132,False,3
-1,0.21793841718404838,False,3
0,0.032465959893966057,False,3
1,-0.05952951810322604,False,3
2,0.09194278025539104,False,3
3,0.0008639896795248347,False,3
4,-0.037377206787616024,False,3
5,0.017761034741494486,False,3
-5,0.3233049550411271,False,3
-4,-0.025981320988110235,False,3
-3,-0.297323634053017,False,3
-2,0.02067831623003169,False,3
-1,0.22483267840541932,False,3
0,0.4757776131714103,False,3
1,0.40831133506570605,False,3
2,0.46601282841845326,False,3
3,0.3894535008103146,False,3
4,0.3593464421906759,False,3
5,0.16394440888825546,False,3
6,0.4331981058403477,False,3
7,0.4377564154706244,False,3
8,0.43628712530665004,False,3
9,0.18897256058887302,False,3
10,0.10248797438588164,False,3
-5,0.02233321540121397,False,3
-4,-0.09638196610900152,False,3
-3,0.07404875070778733,False,3
-2,0.14269463810446176,False,3
-1,0.07061081241622952,False,3
0,0.26650865325471945,False,3
1,0.09958665454570964,False,3
2,0.176104538436673,False,3
3,0.16904629598813364,False,3
4,0.23352605161029777,False,3
5,0.1866530188007552,False,3
6,0.15501884512478709,False,3
7,0.23361452515260578,False,3
8,0.030247486961709924,False,3
9,0.08821476933803757,False,3
10,0.2158595559817424,False,3
11,0.2858878561555515,False,3
12,0.213642626756607,False,3
13,0.1707519920380211,False,3
-8,-0.10082223063171242,False,3
-7,0.08290837824525571,False,3
-6,0.04708143739449394,False,3
-5,0.02291124179386711,False,3
-4,-0.02644898326654732,False,3
-3,-0.01982367767545895,False,3
-2,0.11528519017090794,False,3
-1,0.08097731812298398,False,3
-8,0.06573852740639319,False,3
-7,0.01625655266050674,False,3
-6,-0.08199508006689982,False,3
-5,0.10846673060546874,False,3
-4,-0.025887428863285766,False,3
-3,-0.04728441524241822,False,3
-2,0.1034113585807207,False,3
-1,0.20228406223551743,False,3
0,0.17747304065712544,False,3
1,0.28330914731805745,False,3
2,0.21040098500855386,False,3
3,-0.13999981398351447,False,3
4,0.186701375012849,False,3
5,0.2265180512730106,False,3
6,0.03834122257724071,False,3
7,0.1016320102164261,False,3
8,-0.18893856270413384,False,3
9,0.08292435422076438,False,3
-8,-0.0731153737619763,False,4
-7,0.015316404052785226,False,4
-6,-0.0882704570612487,False,4
-5,0.0077500908933036405,False,4
-4,-0.0994008479050939,False,4
-3,-0.0011851510365044615,False,4
-2,-0.1472042198465473,False,4
-1,0.23250007196291606,False,4
0,0.5292777419317685,False,4
-8,0.06520463522750886,False,4
-7,-0.009544407349174555,False,4
-6,-0.029933533320706696,False,4
-5,0.12158120968673325,False,4
-4,0.1310996603906417,False,4
-3,-0.0690984151469683,False,4
-2,0.20220109535715025,False,4
-1,0.11245111067943714,False,4
0,0.12961403100423108,False,4
-5,0.07713328894114357,False,4
-4,-0.11538775923011058,False,4
-3,0.03825447028896711,False,4
-2,0.2803518922263082,False,4
-1,-0.0033645705004786697,False,4
0,0.17715784274288982,False,4
1,0.2408654692788138,False,4
2,0.17489662470289324,False,4
3,-0.03292953358647133,False,4
4,0.08549623065518475,False,4
5,0.12999866603571375,False,4
6,0.16971848356973163,False,4
7,0.22226757675488618,False,4
8,0.014257789219496053,False,4
-8,0.10805181104993372,True,4
-7,-0.1904907367723659,True,4
-6,-0.10353259049318259,True,4
-5,-0.15034263274592974,True,4
-4,-0.0948423715319352,True,4
-3,-0.15348402197419575,True,4
-2,-0.05736583467578593,True,4
-1,0.24894706928936655,True,4
0,0.2129310340695985,True,4
1,0.14731317589511178,True,4
2,0.2618343760098037,True,4
3,0.189349150232003,True,4
4,0.3465018719001938,True,4
-8,-0.019061224766619755,False,4
-7,0.04024972889877987,False,4
-6,-0.018287436267299062,False,4
-5,-0.1897415113088446,False,4
-4,-0.12729159433005055,False,4
-3,-0.03838820776699481,False,4
-2,0.08451463161306966,False,4
-1,0.26501986688510865,False,4
0,0.3898196100518179,False,4
1,0.20197408062837346,False,4
2,0.29202940068419797,False,4
3,0.10073901856744122,False,4
4,0.11323170574961844,False,4
5,-0.11052599435690108,False,4
6,0.17518051239864224,False,4
7,-0.04041095670234207,False,4
8,0.10319746008123848,False,4
9,0.10479163577275269,False,4
10,0.1070230307236793,False,4
-7,0.06621591943394078,True,4
-6,-0.11075776969344964,True,4
-5,0.044541850259509075,True,4
-4,0.23259543799561933,True,4
-3,-0.03756799775087594,True,4
-2,-0.010173234427462208,True,4
-1,0.2305520941786946,True,4
0,0.2342849244438987,True,4
1,0.16352402155184298,True,4
2,0.012016069848109767,True,4
3,0.20903743096801908,True,4
4,0.25126154511396925,True,4
5,0.01993171909242475,True,4
6,0.23655129670494235,True,4
7,0.07173921170631259,True,4
8,-0.04966824059711794,True,4
-5,0.25812091393619707,False,4
-4,-0.15892620969614712,False,4
-3,-0.09919470424005011,False,4
-2,0.04129769767094782,False,4
-1,0.37154194181471645,False,4
0,0.10504002511671195,False,4
1,0.020008877672683667,False,4
2,0.05742474657536667,False,4
3,0.026045558233800614,False,4
4,0.14035390436234185,False,4
5,0.23891966034122414,False,4
6,0.010643395037022385,False,4
7,-0.0011710685105535967,False,4
8,-0.07080215741659218,False,4
9,-0.04480886902641845,False,4
10,-0.2751302486487364,False,4
11,-0.15675829783146505,False,4
12,0.13510546567036674,False,4
13,0.036146570108278486,False,4
14,0.21907271383907945,False,4
-5,0.03272000784236384,False,4
-4,0.022149103258385205,False,4
-3,-0.05486911110074921,False,4
-2,0.1812906762789106,False,4
-1,0.10678601769597657,False,4
0,0.28937900400868655,False,4
1,0.5458264919707138,False,4
2,0.20350005908380164,False,4
3,0.2052755123899056,False,4
4,0.04291970718033289,False,4
5,0.1021228855765739,False,4
6,0.3166796902527226,False,4
7,0.1930564143455522,False,4
8,0.3491141862819288,False,4
9,0.28657558394220817,False,4
10,0.04015066100101672,False,4
11,0.16809540047439409,False,4
12,0.014824126147613248,False,4
-6,-0.04564011389568734,False,4
-5,-0.036659509136301116,False,4
-4,0.08229962303198846,False,4
-3,-0.033837403519626774,False,4
-2,0.146336461866872,False,4
-1,0.014483198116166163,False,4
0,0.26263773244190036,False,4
1,0.3007151206197096,False,4
2,0.09122608467997106,False,4
3,0.19233643959221813,False,4
4,0.0007647910822109472,False,4
5,0.10765274094666066,False,4
6,0.0825837644904559,False,4
7,-0.11622980784421677,False,4
8,0.1975109032766803,False,4
9,-0.008621648571301155,False,4
-6,0.08077802647760424,True,6
-5,0.08887451687805159,True,6
-4,-0.16965254335565583,True,6
-3,-0.07530253697264844,True,6
-2,0.17048196834557272,True,6
-1,0.17831770908388977,True,6
0,0.3868589355028024,True,6
1,0.18081255607476787,True,6
2,0.09839864000573711,True,6
-8,-0.027832989649672624,True,6
-7,-0.12269251145495541,True,6
-6,0.0344349423029644,True,6
-5,0.07001447318533333,True,6
-4,0.006082673517166404,True,6
-3,0.014025336850304548,True,6
-2,-0.16490224541858783,True,6
-1,0.4142671756071746,True,6
0,0.3756325396239147,True,6
1,-0.24869464945803635,True,6
2,-0.1016480026900975,True,6
3,-0.2045943416215547,True,6
-4,-0.1555518572043923,False,6
-3,-0.013515109283282867,False,6
-2,0.1690669664876751,False,6
-1,0.05468886346447882,False,6
0,0.1891996757581404,False,6
1,0.035206566645987425,False,6
2,-0.0808341205956647,False,6
3,0.034305201722038436,False,6
4,-0.03279641925240662,False,6
5,0.04444711214104302,False,6
6,0.03902639641264671,False,6
7,0.0473842512517304,False,6
8,0.05642142440311598,False,6
9,-0.026012393333752326,False,6
10,-0.09080251547952306,False,6
11,0.09588013974951509,False,6
-8,0.015062514343565314,False,6
-7,0.11563591221926967,False,6
-6,0.12763042320350299,False,6
-5,-0.06214856099240518,False,6
-4,-0.09745787229373826,False,6
-3,-0.21074028683672646,False,6
-2,0.054289116754563216,False,6
-1,0.2216980394976304,False,6
0,0.18197729070468943,False,6
1,-0.031041823572475202,False,6
2,0.2660601649991832,False,6
3,0.17270601415075632,False,6
4,0.23728771897285633,False,6
5,0.1275881585472876,False,6
6,0.17089222671728527,False,6
-6,-0.0649487618147459,False,6
-5,-0.09905197063260385,False,6
-4,0.1640007324473497,False,6
-3,-0.07940430526638598,False,6
-2,0.12141255187360489,False,6
-1,0.21069681345581937,False,6
0,0.19855025695898854,False,6
1,0.08635918246570573,False,6
2,0.13623296713043875,False,6
3,0.3267685944846941,False,6
4,0.11682975790470329,False,6
5,0.14547655351611233,False,6
6,0.33884703401111893,False,6
7,0.14047982598306075,False,6
8,0.17595531304730427,False,6
9,0.3226727137507851,False,6
-7,0.18656136245080718,False,6
-6,-0.0460157573256213,False,6
-5,-0.14054560512518588,False,6
-4,-0.1125500435134748,False,6
-3,-0.01000962550876694,False,6
-2,0.045066934185796104,False,6
-1,0.2898635268961038,False,6
0,0.11146358180776467,False,6
1,0.008820372938325605,False,6
