relative_turn,delta_teacher_entropy,task_success,model_version
6,-0.30255086026545874,False,1
7,0.1104596781713465,False,1
8,0.14373301850091913,False,1
9,0.17250033780274632,False,1
10,0.09857503141848545,False,1
11,0.2238441135445981,False,1
-5,0.0847239601345518,False,3
-4,-0.011104480254138016,False,3
-3,-0.07361947988041379,False,3
-2,0.2060092964623041,False,3
-1,0.19593736890422347,False,3
0,0.3837781772896052,False,3
1,0.3200496335991139,False,3
2,0.08166179554693354,False,3
3,0.20817426531825617,False,3
4,0.2607210321003986,False,3
5,0.2073733076100544,False,3
6,0.15941156177413224,False,3
7,0.28787356887466825,False,3
8,0.09035960314482838,False,3
9,0.15784813122331792,False,3
10,-0.05121917197017101,False,3
11,0.17465440714173203,False,3
12,0.30176522733125904,False,3
13,0.3758927459443678,False,3
14,-0.12717788306375172,False,3
15,0.21884701970892412,False,3
-8,0.12156266124071263,False,3
-7,-0.1494697563742508,False,3
-6,0.027907095133538118,False,3
-5,0.1481167533419087,False,3
-4,-0.02694476538949636,False,3
-3,-0.13164693748724876,False,3
-2,0.09507120350713033,False,3
-1,0.3753078242630106,False,3
0,0.19562088458043786,False,3
1,0.030432498428224375,False,3
2,0.07752569705380091,False,3
3,0.3463811621940907,False,3
4,0.048934359784438775,False,3
5,0.08118065123056656,False,3
6,0.2799562670188562,False,3
7,0.06328657838694135,False,3
-8,-0.0468298698757475,False,3
-7,-0.051259295967493346,False,3
-6,-0.14890311525373207,False,3
-5,0.043514916804245185,False,3
-4,-0.13699759529890781,False,3
-3,0.09518108382643758,False,3
-2,-0.12898976214451308,False,3
-1,0.18116582669437847,False,3
0,0.5458929216094257,False,3
1,0.3799108831386481,False,3
2,0.31197998608424754,False,3
-8,-0.2465015733314452,False,3
-7,0.07649140937001875,False,3
-6,-0.1193796010634866,False,3
-5,0.15643999142978338,False,3
-4,-0.08269394182027245,False,3
-3,-0.1091367922548595,False,3
-2,0.3772754361384162,False,3
-1,0.03410857914185672,False,3
0,0.16084135492872587,False,3
1,-0.15061861276246774,False,3
-8,-0.090294236979172,False,3
-7,0.011029290357177812,False,3
-6,-0.1679006114258496,False,3
-5,0.021477692345104882,False,3
-4,0.29156483464071314,False,3
-3,0.07273589073343889,False,3
-2,-0.09077646717146304,False,3
-1,0.2626410987605289,False,3
0,0.4181722781300027,False,3
1,0.23348625381767685,False,3
2,0.2786676909153484,False,3
-8,0.1903210192049249,False,3
-7,-0.12590571140136553,False,3
-6,-0.06441530780355942,False,3
-5,-0.13402983324451528,False,3
-4,0.030976413973208994,False,3
-3,0.17095029082118535,False,3
-2,-0.031612208160329947,False,3
-1,0.3370303494977272,False,3
0,0.4115301532113604,False,3
1,0.28508677379592867,False,3
2,0.1567318007270489,False,3
3,0.13905740118837534,False,3
4,0.18798388284674777,False,3
5,0.14270005031742244,False,3
6,0.39281046054264573,False,3
7,0.3889520472349974,False,3
8,0.20677495590482248,False,3
9,0.12488976118664036,False,3
-6,0.2222657502662299,False,3
-5,-0.09120231415872676,False,3
-4,-0.13106343610750315,False,3
-3,-0.16137517352513353,False,3
-2,0.24153845546977287,False,3
-1,0.24674814542726925,False,3
0,0.14312608458868298,False,3
1,0.07808816486203807,False,3
2,-0.18015843701853174,False,3
3,-0.04504979957676036,False,3
4,0.23739863134310651,False,3
5,0.10155352997697831,False,3
6,0.181496648927214,False,3
7,0.11018013288405881,False,3
8,-0.1193872735367359,False,3
9,0.22993832255599683,False,3
10,0.17953232467890273,False,3
11,0.32447719909438827,False,3
12,0.24136905038650674,False,3
-8,-0.17173833337372021,False,3
