trainer_step,time_read_experience_sec,time_train_step_sec,time_step_sec,time_trainer_sync_interval_sec,time_sync_weight_sec,time_save_checkpoint_sec,sample_model_version,sample_task_count,critic_score_mean,perf_throughput_tokens_sec,actor_pg_loss,actor_final_loss,actor_ppo_kl,actor_grad_norm,actor_lr
17,0.04576253890991211,37.952446937561035,37.942283265292645,,,,15.0,3.0,0.0,5877.044837836016,0.01062704608210135,0.010627046031831096,0.0003035028992764472,7.4238409996032715,1e-06
18,107.10570192337036,26.998323440551758,26.987925071269274,173.60207319259644,1.1909804344177246,,16.0,6.0,0.3125,6133.391120765219,0.03039373879437335,0.03039373882347718,0.00040457043314745533,12.354056358337402,1e-06
19,144.4905128479004,23.182539701461792,23.17061322927475,168.05733108520508,1.1009254455566406,,18.0,8.0,0.46875,5985.426394532284,0.033861750670309575,0.033861750936401744,0.0015060975856613368,12.198807716369629,1e-06
20,0.059514522552490234,39.760820150375366,39.750448036938906,,,27.27130103111267,18.0,3.0,0.0,5871.984129162402,0.019004986764312806,0.01900498669023033,0.0016275349010935645,13.215729713439941,1e-06
21,77.42694425582886,17.663346529006958,17.65380699187517,163.17851185798645,1.2239410877227783,,19.0,7.0,0.984375,6060.590786408918,0.053578417538665234,0.053578417748212814,0.0003633845163676597,10.892918586730957,1e-06
22,147.92121958732605,25.910821199417114,25.900483541190624,174.775315284729,1.4064488410949707,,21.0,4.0,0.40625,5985.081311453926,0.017887977628561202,0.017887977592181414,-3.3045052987290546e-05,9.03617000579834,1e-06
23,0.05573296546936035,40.80690026283264,40.796684090048075,,,,21.0,3.0,0.0,5956.746373396584,0.0075800499222774915,0.007580049876802756,9.34186300582951e-05,7.550008773803711,1e-06
24,74.93017506599426,17.8752601146698,17.86661511287093,135.15198040008545,1.1841681003570557,,22.0,7.0,0.828125,6182.2846298641225,0.0391399438570564,0.03913994366303086,-8.839603136342096e-05,10.021486282348633,1e-06
25,119.21193552017212,26.897241353988647,26.885481737554073,146.63253331184387,1.1145544052124023,,24.0,7.0,0.53125,6015.774668976199,0.02415221770934295,0.02415221743285656,0.0007109185693252584,9.104609489440918,1e-06
26,0.04675030708312988,39.54990839958191,39.53761211037636,,,,24.0,3.0,0.0,5845.408654291136,0.011333439631264562,0.011333439578348507,0.0009492505469782228,11.633049011230469,1e-06
27,66.57539439201355,15.53852128982544,15.526917159557343,123.4909679889679,1.3251030445098877,,25.0,8.0,0.765625,6407.453519436199,0.061502037849277255,0.06150203738361597,0.0007898284413386137,13.090078353881836,1e-06
28,127.14662575721741,31.68647027015686,31.674681693315506,159.47873997688293,1.5710172653198242,,27.0,6.0,0.359375,5878.780465828539,0.019861864902648248,0.0198618649220508,-0.00024545325151039934,10.118497848510742,1e-06
29,0.04868459701538086,44.965479135513306,44.95370290055871,,,,27.0,3.0,0.0,5873.8653984546,0.012167502358911756,0.012167502242496435,0.0006725826024194248,8.444314002990723,1e-06
30,73.91633462905884,11.667358875274658,11.658339038491249,132.08398175239563,1.274003505706787,,28.0,9.0,0.90625,6638.681526113527,0.07490923441946507,0.07490923488512635,0.0009628024581616046,12.875642776489258,1e-06
