branch,branch_label,step,success_count,task_count,success_rate,success_rate_percent,seen_success_count,unseen_success_count,engine_num,provenance,source,source_sha256
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),40,96,274,0.35036496350364965,35.03649635036496,49,47,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_40_seed42/summary.json,3cf51c5e56590e3a1a899d41437ac51e79958f8b4aa1effe15b7b311f1506b6b
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),60,111,274,0.4051094890510949,40.51094890510949,61,50,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/entropy_adaptive_v1_t0100/step_60_seed42/summary.json,d40e202611fe85cb5e4d3c138bf5aa172f7107cfe7ab22e5b7a0863a81d5187a
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),80,126,274,0.45985401459854014,45.98540145985402,60,66,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/entropy_adaptive_v1_t0100/step_80_seed42/summary.json,b074243001928c8aedfc729c13ae42780e606405bfbc2e797c4626cb652f736b
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),100,174,274,0.635036496350365,63.503649635036496,92,82,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/entropy_adaptive_v1_t0100/step_100_seed42/summary.json,b92867b49f216deb83ce005e71a65be1312ec012fabd3453b319b2ca9493bb3a
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),120,211,274,0.7700729927007299,77.00729927007299,111,100,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_120_seed42/summary.json,c0ca21d01c765c8441637531ef3e010d287a353ac06f492d3cb1a1a5ef24ab80
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),140,197,274,0.718978102189781,71.8978102189781,107,90,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_140_seed42/summary.json,6d9e1c31f9ab5effe97246ea4a115fa7569bba77ce9aa5eec90a45300be4dea8
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),160,204,274,0.7445255474452555,74.45255474452554,110,94,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_160_seed42/summary.json,63ff7b40b1f59c42d20d4d10352f1c872fc538601fb73948cf23412f22cc4c01
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),180,217,274,0.791970802919708,79.1970802919708,115,102,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_180_seed42/summary.json,7fe2a7a9e41dcce271d38c2f85c9aa678de7e867e8354c6fad665b638299bb1c
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),200,225,274,0.8211678832116789,82.11678832116789,114,111,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_200_seed42/summary.json,4863fb0d12281b436180e76e58fcc42b834adcb8755fd73bfb074ba2cbaa3cbe
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),220,224,274,0.8175182481751825,81.75182481751825,118,106,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_220_seed42/summary.json,5bf8bc79adc5be2a8b3f995fee01c07b3e2b903ebd47745c369d874054b4f260
