method,explorer_batch,trajectory_count,model_version_mean,matched_done_reward,audited_task_success,matched_done_reward_smooth,matched_done_reward_cumulative,audited_task_success_smooth,audited_task_success_cumulative
Vanilla OPD,122,16,166.0,0.75,,0.7291666666666666,0.44979508196721313,,
Vanilla OPD,123,16,167.0,0.75,,0.7222222222222222,0.45223577235772355,,
Vanilla OPD,124,16,169.0,0.6875,,0.7430555555555556,0.45413306451612906,,
Vanilla OPD,125,16,170.0,0.8125,,0.7291666666666666,0.457,,
Vanilla OPD,126,16,172.0,0.625,,0.7152777777777778,0.4583333333333333,,
Vanilla OPD,127,16,173.0,0.6875,,0.7152777777777778,0.46013779527559057,,
Vanilla OPD,128,16,175.0,0.8125,,0.7222222222222222,0.462890625,,
Vanilla OPD,129,16,176.0,0.6875,,0.7291666666666666,0.4646317829457364,,
Vanilla OPD,130,16,178.0,0.625,,0.7013888888888888,0.4658653846153846,,
Vanilla OPD,131,16,179.0,0.75,,0.7152777777777778,0.46803435114503816,,
Vanilla OPD,132,16,181.0,0.8125,,0.7361111111111112,0.4706439393939394,,
Vanilla OPD,133,16,182.0,0.75,,0.7430555555555556,0.47274436090225563,,
Vanilla OPD,134,16,184.0,0.5625,,0.7638888888888888,0.47341417910447764,,
Vanilla OPD,135,16,185.0,0.75,,0.7430555555555556,0.475462962962963,,
Vanilla OPD,136,16,187.0,0.875,,0.7569444444444444,0.47840073529411764,,
Vanilla OPD,137,16,188.0,0.875,,0.75,0.4812956204379562,,
Vanilla OPD,138,16,190.0,0.875,,0.75,0.4841485507246377,,
Vanilla OPD,139,16,191.0,0.4375,,0.7777777777777778,0.48381294964028776,,
Vanilla OPD,140,16,193.0,0.875,,0.7986111111111112,0.48660714285714285,,
Vanilla OPD,141,16,195.0,0.75,,0.7916666666666666,0.48847517730496454,,
Vanilla OPD,142,16,195.0,0.75,,0.7986111111111112,0.4903169014084507,,
Vanilla OPD,143,16,197.0,0.8125,,0.7708333333333334,0.49256993006993005,,
Vanilla OPD,144,16,198.0,0.9375,,0.8194444444444444,0.4956597222222222,,
Vanilla OPD,145,16,200.0,0.8125,,0.8263888888888888,0.4978448275862069,,
Vanilla OPD,146,16,201.0,0.9375,,0.8472222222222222,0.5008561643835616,,
Vanilla OPD,147,16,203.0,0.625,,0.8541666666666666,0.5017006802721088,,
Vanilla OPD,148,16,204.0,0.875,,0.8472222222222222,0.504222972972973,,
Vanilla OPD,149,16,206.0,0.9375,,0.8472222222222222,0.5071308724832215,,
Vanilla OPD,150,16,207.0,0.9375,,0.8611111111111112,0.51,,
Vanilla OPD,151,16,209.0,0.8125,,0.8402777777777778,0.5120033112582781,,
Vanilla OPD,152,16,210.0,0.75,,0.8541666666666666,0.5135690789473685,,
Vanilla OPD,153,16,212.0,0.9375,,0.8472222222222222,0.5163398692810458,,
Vanilla OPD,154,16,213.0,0.9375,,0.8333333333333334,0.5190746753246753,,
Vanilla OPD,155,16,215.0,0.75,,0.8125,0.5205645161290322,,
Vanilla OPD,156,16,216.0,0.75,,0.8055555555555556,0.5220352564102564,,
Vanilla OPD,157,16,218.0,0.8125,,0.7986111111111112,0.5238853503184714,,
Vanilla OPD,158,16,219.0,0.8125,,0.7708333333333334,0.5257120253164557,,
Vanilla OPD,159,16,221.0,0.75,,0.75,0.527122641509434,,
Vanilla OPD,160,16,222.0,0.75,,0.7569444444444444,0.528515625,,
Vanilla OPD,161,16,224.0,0.6875,,0.7430555555555556,0.5295031055900621,,
Vanilla OPD,162,16,225.0,0.6875,,0.7361111111111112,0.5304783950617284,,
Vanilla OPD,163,16,227.0,0.75,,0.7430555555555556,0.5318251533742331,,
Vanilla OPD,164,16,228.0,0.8125,,0.7361111111111112,0.5335365853658537,,
Vanilla OPD,165,16,230.0,0.625,,0.7222222222222222,0.5340909090909091,,
Vanilla OPD,166,16,231.0,0.75,,0.7083333333333334,0.5353915662650602,,
Vanilla OPD,167,16,233.0,0.875,,0.7083333333333334,0.5374251497005988,,
Vanilla OPD,168,16,234.0,0.6875,,0.7291666666666666,0.5383184523809523,,
Vanilla OPD,169,16,236.0,0.625,,0.7222222222222222,0.5388313609467456,,
Vanilla OPD,170,16,237.0,0.5625,,0.75,0.5389705882352941,,
Vanilla OPD,171,16,239.0,0.6875,,0.7430555555555556,0.5398391812865497,,
Vanilla OPD,172,16,240.0,0.9375,,0.7361111111111112,0.5421511627906976,,
Vanilla OPD,173,16,242.0,0.75,,0.75,0.5433526011560693,,
Vanilla OPD,174,16,243.0,0.875,,0.765625,0.5452586206896551,,
Vanilla OPD,175,16,245.0,0.6875,,0.7946428571428571,0.5460714285714285,,
Vanilla OPD,176,16,246.0,0.8125,,0.8125,0.5475852272727273,,
Vanilla OPD,177,16,248.0,0.8125,,0.7875,0.5490819209039548,,
